mean_vv,correlation_vv,permutation_entropy_vv,mean_vh,correlation_vh,permutation_entropy_vh,mean_vv_by_vh,correlation_vv_by_vh,permutation_entropy_vv_by_vh,mean_rvi,correlation_rvi,permutation_entropy_rvi,Rice Yield (kg/ha)
0.169656363,0.129597345,0.401118457,0.0337334,0.214950829,0.401118189,6.348160441,0.141767156,0.401118189,0.345823234,0.244545502,0.401135769,7760
0.112343561,0.372424475,0.401118456,0.027284455,0.458481168,0.386067688,4.46584454,0.504057246,0.401341888,0.54834362,0.424534943,0.401134457,7760
0.117134554,0.48464641,0.386067344,0.020045513,0.28375202,0.386067688,9.201484449,0.54719454,0.401134877,0.360824547,0.225444559,0.401118133,7760
0.09702455,0.186289445,0.401114477,0.029713456,0.209307144,0.401118189,4.0612445,0.553128455,0.401113469,0.529454463,0.583344442,0.401134489,7760
0.098225456,-0.088433046,0.401114347,0.023614455,-0.150573441,0.386067688,5.213146915,0.281709755,0.451445877,0.413387523,0.418484234,0.401113447,7600
0.121073491,0.491344964,0.401114555,0.026845455,0.362042715,0.401118189,7.836598725,0.453692118,0.401118189,0.414528313,0.495445521,0.401113449,7600
0.13515537,0.435344742,0.389854297,0.02401963,0.350042504,0.389854297,7.057565136,0.329873655,0.389854297,0.343596575,0.254545334,0.389854255,6500
0.111279596,0.495753188,0.373646066,0.024160165,0.6042192,0.389854297,5.630388014,0.396697694,0.389854297,0.423078029,0.204555345,0.389854455,6500
0.219354709,0.608838223,0.389854297,0.035636077,0.402246933,0.389854297,7.265283438,0.608823552,0.389854297,0.374801041,0.518334556,0.389854452,6500
0.129334189,0.419510402,0.389854297,0.030236355,0.433423484,0.389854297,6.379551919,0.617399531,0.389854297,0.442754988,0.490646676,0.389845215,6500
0.165349625,0.416631988,0.373646066,0.02925951,0.310946272,0.389854297,6.537611194,-0.145798359,0.389854297,0.240421264,0.016235664,0.389854452,6500
0.173459613,0.372366855,0.389854297,0.02730656,0.307208852,0.389854297,7.759089203,0.424560405,0.389854297,0.432970235,0.214304554,0.389854552,6500
0.129023691,0.192724192,0.389854297,0.02494624,0.35901369,0.373646066,6.199156667,0.421032803,0.389854297,0.332748237,0.355455364,0.389854552,6500
0.104455564,0.139943727,0.389854297,0.020126062,0.334043172,0.389854297,7.427197644,0.582502932,0.389854297,0.403500679,0.374455436,0.389854557,6500
0.106157203,0.196238405,0.389854297,0.022137955,0.337661266,0.389854297,5.030331736,0.186832154,0.389854297,0.370617595,0.270455161,0.389854552,6500
0.129340557,0.278772885,0.373646066,0.028811131,0.226825746,0.389854297,6.390848612,0.317744157,0.389854297,0.418752699,0.444555445,0.389854452,6500
0.113458069,0.350551986,0.389854297,0.029098452,0.486036421,0.389854297,4.253005086,0.086189337,0.389854297,0.422858615,0.4554341,0.389855452,6500
0.107417923,0.050651571,0.389854297,0.020372184,0.52610778,0.389854297,7.477707274,0.312751817,0.389854297,0.529279745,0.324554354,0.389854452,6500
0.147318244,-0.109523952,0.389854297,0.023684416,0.345991697,0.389854297,6.997388739,0.318293881,0.389854297,0.423872643,0.364337333,0.389455215,6500
0.14467059,0.420243527,0.401118189,0.028584224,0.716443198,0.386067688,9.37575618,0.417647858,0.401118189,0.454503002,0.479987183,0.401118189,6500
0.099116412,0.183894521,0.389854297,0.018527743,0.453826708,0.389854297,6.764248897,0.508207532,0.389854297,0.398330503,0.428143534,0.389854297,6500
0.126124754,0.283370308,0.389854297,0.0256784,0.378229384,0.389854297,6.44534011,0.323072625,0.389854297,0.343590269,0.313578047,0.389854297,6500
0.142665143,0.160845032,0.401118189,0.033419964,0.56229527,0.401118189,8.014097313,0.21451237,0.401118189,0.411458098,0.456891259,0.401118345,6400
0.183263416,0.356741347,0.401118189,0.028843391,0.514408794,0.401118189,11.86651936,0.580364209,0.401118189,0.361034748,0.600524555,0.401444888,6400
0.13243036,0.243071356,0.401118189,0.025691482,0.382197473,0.401118189,9.068292027,0.44720541,0.401118189,0.343527606,0.644554529,0.401455189,6400
0.11468735,0.355924374,0.401118189,0.021689871,0.33083514,0.401118189,7.665301225,0.586040149,0.401118189,0.353680069,0.342455117,0.401118559,6400
0.156514321,0.03938544,0.401118189,0.024033469,0.500444465,0.401118189,8.72191542,0.50747779,0.36533647,0.371221349,0.665445343,0.365336465,6400
0.089983065,-0.022781533,0.401118189,0.020748026,0.376359341,0.401118189,6.96676055,0.282024669,0.386067688,0.362662631,0.564550294,0.386064559,6400
0.131133715,0.313464564,0.401118189,0.024972933,0.528520291,0.401118189,7.798526749,0.519204994,0.401118189,0.346912317,0.593345553,0.401118455,6400
0.099449341,0.188946349,0.401118189,0.024556398,0.163271199,0.401118189,5.114562902,0.324128028,0.401118189,0.47323619,0.21434552,0.401115477,6400
